channel     z-pos[mm]   phi-pos[rad]
1068        -145        0.401062    
1069        -141        0.401062    
1070        -137        0.401062    
1071        -133        0.401062    
1072        -129        0.401062    
1073        -125        0.401062    
1074        -121        0.401062    
1075        -117        0.401062    
1076        -113        0.401062    
1077        -109        0.401062    
1078        -105        0.401062    
1079        -101        0.401062    
1080        -97         0.401062    
1081        -93         0.401062    
1082        -89         0.401062    
1083        -85         0.401062    
1084        -81         0.401062    
1085        -77         0.401062    
1086        -73         0.401062    
1087        -69         0.401062    
1088        -65         0.401062    
1089        -61         0.401062    
1090        -57         0.401062    
1091        -53         0.401062    
1092        -49         0.401062    
1093        -45         0.401062    
1094        -41         0.401062    
1095        -37         0.401062    
1096        -33         0.401062    
1097        -29         0.401062    
1098        -25         0.401062    
1099        -21         0.401062    
1100        -17         0.401062    
1101        -13         0.401062    
1102        -9          0.401062    
1103        -5          0.401062    
1104        -1          0.401062    
1105        3           0.401062    
1106        7           0.401062    
1107        11          0.401062    
1108        15          0.401062    
1109        19          0.401062    
1110        23          0.401062    
1111        27          0.401062    
1112        31          0.401062    
1113        35          0.401062    
1114        39          0.401062    
1115        43          0.401062    
1116        47          0.401062    
1117        51          0.401062    
1118        55          0.401062    
1119        59          0.401062    
1120        63          0.401062    
1121        67          0.401062    
1122        71          0.401062    
1123        75          0.401062    
1124        79          0.401062    
1125        83          0.401062    
1126        87          0.401062    
1127        91          0.401062    
1128        95          0.401062    
1129        99          0.401062    
1130        103         0.401062    
1131        107         0.401062    
1132        111         0.401062    
1133        115         0.401062    
1134        119         0.401062    
1135        123         0.401062    
1136        127         0.401062    
1137        131         0.401062    
1138        135         0.401062    
1139        139         0.401062    
1140        143         0.401062    
1141        147         0.401062    
1142        151         0.401062    
1143        155         0.401062    
1144        159         0.401062    
1145        163         0.401062    
1146        167         0.401062    
1147        171         0.401062    
1148        175         0.401062    
1149        179         0.401062    
1150        183         0.401062    
1151        187         0.401062    
1152        -190        0.435937    
1153        -186        0.435937    
1154        -182        0.435937    
1155        -178        0.435937    
1156        -174        0.435937    
1157        -170        0.435937    
1158        -166        0.435937    
